,카페이름
882,수성2가동 시월일일
883,범어2동 인아워타임 대구범어점
884,범어2동 바삭
885,태전2동 커피플러스
886,범어3동 몽산커피
887,황금1동 카페스테이골드
888,수성4가동 더리터 수성4가점
889,범어1동 마시그래이 수성범어점
890,읍내동 투데이로스팅커피 동천점
891,칠성동 카페C탐
892,상동 스토니벨벳
893,대현동 공부의즐거움
894,침산1동 별들의다방 대구침산점
895,만촌2동 에뚜왈르
896,대현동 캔버스커피 대현점
897,수성4가동 오가딕티룸앤카페
898,중동 엽전레스토랑
899,검단동 커피와만남
900,태전1동 배영다방
901,산격1동 헬리빈커피 경대북문점
902,구지면 도란도란카페
903,수성4가동 모브
904,범어2동 카페지금여기
905,침산1동 세컨바닐라
906,산격2동 읍천리382 대구경북대점
907,구지면 쿠잉버터
908,침산2동 카페비탈
909,칠성동 모로커피
910,범어3동 노엘블랑 범어2호점
911,산격2동 라이크먼데이
912,산격1동 착한또띠아&커피
913,범어1동 아이엠폴
