,카페이름
1243,물꼬방
1244,커피명가 시지점
1245,카페포레
1246,마시찌롱
1247,카페구슬이네 화원점
1248,포코아포코
1249,피컵요거트
1250,대박카페
1251,읍천리382 화원옥포점
1252,미메이트커피
1253,동네커피 대구신월성점
1254,스타벅스 대구성서점
1255,메가MGC커피 이마트성서점
1256,디플랫
1257,커피&타로
1258,샌드선샤인 죽전점
1259,삼성커피숍
1260,텐퍼센트커피 대구신월성점
1261,머그커피하우스
1262,카페봄봄 대구도원점
1263,디데이492
1264,소피아네
1265,공차 대구본리점
1266,크로쿤커피
1267,꽃으로부터
1268,청솔로9 상인점
1269,989라운지
1270,푸드카페올리브
1271,공차 홈플러스성서점
1272,하삼동커피 대구대곡점
1273,보노미아
1274,빽다방 대구대실역점
1275,더리터 장기점
1276,스테이어
1277,나우커피 이곡점
1278,쉴만한물가
