,0,1,2
수성1가동 바람구름,https://drive.google.com/uc?id=1dMtfRwMROZgBoTL3R9qIhRCJhKWRGfZr,https://drive.google.com/uc?id=1n1KvChLZ5NBrAiqjQ3MeWysayWZHW2Lj,https://drive.google.com/uc?id=1vtM8eCkfOkD_NEg_h2NuYlAKNAtGWh2I
남산4동 쌔틀,https://drive.google.com/uc?id=14AgwBN85ss24hqWNRjCAR5V9UbqE5J3G,https://drive.google.com/uc?id=1wXCRHyGDHFLRh-CIq-9Xp1SG0bi2vM7L,https://drive.google.com/uc?id=1Wd7bDznYnFezRRGYJsDOe9RUm66oBFwX
대명5동 모미닝,https://drive.google.com/uc?id=1lSGlzXOClycECFeKSqgDbQtm5wyG6ZZ1,https://drive.google.com/uc?id=1xYdRCspWXNhY_D6fcz4UDbClTIXFs4DU,https://drive.google.com/uc?id=1w8qF-XfFp3JQB-GUO8z-abicTKFUc3Qo
대명1동 에이치카페,https://drive.google.com/uc?id=1VxgtLDGthYqfOjGfHLe7W-GLSG962GeP,https://drive.google.com/uc?id=1_wUNu4cPvy6ZjGXZ4DN2E3DuFlIuvWIN,https://drive.google.com/uc?id=1S_TlJ94FfLLfZw7gRhjRk2SoWpNhVVki
대명5동 동네커피 대명점,https://drive.google.com/uc?id=1WelZQfgy57jo41ZpY920Pu1boVLmU8OQ,https://drive.google.com/uc?id=1UUnDUoBcTHuQDkB8sfGshuUX_nxDy4B7,https://drive.google.com/uc?id=1CBBtUjSS3GKRlkjEkIoNurdFsjO3jjgW
대명5동 커피매거진 영대병원점,https://drive.google.com/uc?id=1b9VlG_kH1-jKAiA12Za2oGsYZDh-QSLp,https://drive.google.com/uc?id=1UOOsz1Ceh-hnjX74MKvcNtyMjI9GCXE0,https://drive.google.com/uc?id=1Uo1typaG8Hj-itV6jUJNSBTKwmeDqRL_
대명5동 요거트월드 대명점,https://drive.google.com/uc?id=174nXw_C1Dz9GjYm85VJGoRbn7kA8zS5s,https://drive.google.com/uc?id=1MNOo9POQwLWNq-n_8sn_7aqSnCs-UbvP,https://drive.google.com/uc?id=1NCgc5NEyFAjBt79GKoukPip_h0XlDxrZ
대명5동 카페 리브라,https://drive.google.com/uc?id=1xlqgYfEsyA8PJ4GGYmaxLzrfuuXU1drP,https://drive.google.com/uc?id=1QLwglE26612TX8vIA2qcL4yKSIakgweF,https://drive.google.com/uc?id=11zE4OyWWjNpPIH3lsGPGUhHvSUoX8e8V
봉덕2동 브렌치카페,https://drive.google.com/uc?id=1R4SdYaNvXhWeUavB9QQomEz7FRBqd5OP,https://drive.google.com/uc?id=1sluHrUggiaI2eDCAJObYb781BZ04S94f,https://drive.google.com/uc?id=1gScVOZeO-FSKR7GIGeTLtC7l4592PNxF
대명5동 스타벅스 대구영대병원역DT점,https://drive.google.com/uc?id=1svtRRYE5xWER9ZJAcHr85eH94EsSYq_8,https://drive.google.com/uc?id=1BDcw0GMQ6VXylUi0Pk1LMBM0aJtvDvNk,https://drive.google.com/uc?id=1T9-QVQ9G-WmJdy0DJNQUy_V7U_Ux7tdT
봉덕2동 카페봉덕,https://drive.google.com/uc?id=1Mqhjsy8DSmDIuZ8aoS0XpoGzQnYWTkQT,https://drive.google.com/uc?id=1AedeFDbRXE7KRBZk61zZwS8GICxrstw3,https://drive.google.com/uc?id=1BjHSR52EkEOJeMCKRRbOs55ITKQk_P-9
봉덕2동 칼라스,https://drive.google.com/uc?id=1pT3IgyjXMD3EbAunXv-ZtXOv1w77oq3r,https://drive.google.com/uc?id=185NMZscBa7QCJiKik2D9bljA2y7jYuH8,https://drive.google.com/uc?id=1bYZb0xjWAjpKolN7IttY959Bb1HpCUwx
